"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
4.129486309E0,7.206470370E-1,1.065928459E0,-2.321677685E0
4.149257820E0,1.024848938E0,-2.776911736E0,-3.123109341E0
4.169027716E0,1.044396043E0,8.246437907E-1,1.866138428E-1
4.188799226E0,-1.610498786E0,3.690280914E0,1.410751700E0
4.208569122E0,-1.980672240E0,1.284000993E0,-4.260659516E-1
4.228340632E0,-1.596449256E0,3.726168275E-1,-2.351761982E-2
4.248110528E0,-2.813256979E0,1.733584523E0,7.015580535E-1
4.267882039E0,-3.940270185E0,3.094704866E0,6.606312990E-1
4.287651934E0,-4.234087944E0,4.208279610E0,6.600204706E-1
4.307423445E0,-4.144293308E0,4.334114075E0,6.178719997E-1
4.327193341E0,-4.086873531E0,3.276737452E0,4.364503622E-1
4.346964851E0,-3.628738165E0,1.798334360E0,2.281514555E-1
4.366734747E0,-2.678870678E0,8.197570443E-1,-5.650337040E-2
4.386506257E0,-2.463241577E0,3.176405728E-1,1.994416267E-1
4.406276153E0,-2.420482159E0,9.064973593E-1,6.117635369E-1
4.426047664E0,-1.919587493E0,1.229024649E0,4.987567961E-1
4.445817559E0,-1.817576051E0,5.399889946E-1,1.267508119E-1
4.465589070E0,-1.874995708E0,2.064663768E-1,-8.704573661E-2
4.485358966E0,-1.981893897E0,7.934905887E-1,-8.521319181E-2
4.505130476E0,-1.862167835E0,9.663603902E-1,-6.077930331E-2
4.524900424E0,-1.207950473E0,5.503733754E-1,-3.032856584E-1
4.544671934E0,-7.895200849E-1,1.252236813E-1,-6.094728708E-1
4.564441830E0,-6.575770974E-1,4.776825607E-1,-8.012788892E-1
4.584213341E0,-1.353026628E-1,1.255291104E0,-7.389724851E-1
4.603983237E0,4.537068009E-1,1.263232112E0,-7.621846795E-1
4.623754799E0,1.182447553E0,5.741963983E-1,-9.515473247E-1
4.643524695E0,2.150640488E0,-6.493306160E-1,-7.243121266E-1
4.663296205E0,3.037590742E0,-6.059604883E-1,-3.967452943E-1
4.683066101E0,3.098064661E0,-5.711421967E-1,1.475196183E-1
4.702837664E0,3.322245598E0,-7.598940134E-1,4.486673176E-1
4.722607559E0,3.675315142E0,-1.122126460E0,9.098569751E-1
4.742379070E0,3.354620457E0,-1.949824452E0,1.099830508E0
4.762149018E0,3.106616497E0,-2.819823742E0,1.579956412E0
4.781920528E0,2.851282358E0,-3.289565086E0,1.958070874E0
4.801690424E0,2.431630135E0,-3.875978470E0,1.890877724E0
4.821461987E0,2.501266718E0,-3.452661514E0,1.646538734E0
4.841231882E0,2.882435560E0,-3.062940836E0,1.468171358E0
4.861003445E0,2.540360928E0,-2.756142855E0,1.328898191E0
4.880773341E0,1.553842664E0,-2.794626236E0,6.783458591E-1
4.900544851E0,1.622257590E0,-2.833873034E0,-4.550812021E-2
4.920314799E0,1.928292036E0,-2.685895443E0,-3.594835997E-1
4.940086309E0,1.760309100E0,-2.130635262E0,-4.694361091E-1
4.959856257E0,1.211768270E0,-1.131899953E0,-3.576510847E-1
4.979627768E0,4.036173224E-1,-1.661504507E-1,-1.695101112E-1
4.999397716E0,-4.278984964E-1,2.040229887E-1,-1.255291104E-1
5.019169226E0,-7.834116220E-1,2.260134928E-2,-2.412846684E-2
5.038939174E0,-6.233696342E-1,-5.705313683E-1,2.947337925E-1
5.058710684E0,-3.161134422E-1,-8.441908956E-1,4.419479966E-1
