"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.819186607E0,2.114899874E0,5.702300072E0,-1.641399980E0
6.839039732E0,3.998899937E0,4.507100105E0,-2.786799908E0
6.858897544E0,4.959799767E0,1.187899947E0,-4.928499699E0
6.878744419E0,3.425799847E0,-6.832399845E0,-1.045839977E1
6.898597544E0,2.134599924E0,-1.224529934E1,-6.917999744E0
6.918450669E0,1.984299898E0,-1.136249924E1,-8.342999816E-1
6.938302232E0,1.026000008E-1,-6.385299683E0,-6.060000062E-1
6.958155357E0,-4.182499886E0,-9.904199600E0,-2.893899918E0
6.978008482E0,-4.704799652E0,-1.425309944E1,4.437699795E0
6.997860044E0,-4.854199886E0,7.980999947E-1,1.110899925E1
7.017713169E0,-3.606999815E-1,8.186200142E0,4.112899780E0
7.037566294E0,2.460700035E0,1.081769943E1,1.416199923E0
7.057417857E0,2.161999941E0,7.592299938E0,-2.072999954E0
7.077270982E0,3.242000043E-1,-2.830999792E-1,-4.965300083E0
7.097124107E0,-2.203099966E0,-5.800600052E0,-2.748100042E0
7.116977232E0,-2.486299992E0,-8.090399742E0,-1.434700012E0
7.136835044E0,1.127599955E0,-6.939300060E0,-9.493999481E-1
7.156681919E0,3.201200008E0,-3.473399878E0,-3.546999991E-1
7.176535044E0,3.133899927E0,-5.945999622E-1,9.164999723E-1
7.196386607E0,2.756199837E0,9.522999525E-1,1.251199961E0
7.216245982E0,4.012700081E0,-1.098999977E-1,-6.834399700E0
7.236092857E0,2.860100031E0,-8.202999830E-1,-4.338599682E0
7.255944419E0,1.010399938E0,2.999999933E-2,3.348000050E-1
7.275803794E0,-9.636999965E-1,4.398999810E-1,3.255699873E0
7.295649107E0,-2.268300056E0,6.750999689E-1,4.237400055E0
7.315502232E0,-2.794800043E0,3.255999982E-1,2.111999989E0
7.335355357E0,-1.818499923E0,-5.033000112E-1,-1.903599977E0
7.355208482E0,-1.939999908E-1,-2.721999884E0,-9.516699791E0
7.375060044E0,2.431399822E0,-4.879899979E0,-4.269199848E0
7.394913169E0,5.679599762E0,-7.296199799E0,1.435099959E0
7.414766294E0,2.327899933E0,-9.159399986E0,1.571499944E0
7.434617857E0,-2.719399929E0,-8.402799606E0,5.504999757E-1
7.454470982E0,-6.911999702E0,-5.502699852E0,-2.315099955E0
7.474324107E0,-7.189599991E0,-4.934499741E0,2.087199926E0
7.494175669E0,-5.394599915E0,-6.086499691E0,6.632599831E0
7.514028794E0,-5.182099819E0,-4.204100132E0,5.222199917E0
7.533881919E0,-2.378999889E-1,-2.047499895E0,-1.873699903E0
7.553739732E0,2.785699844E0,-4.412999749E-1,-2.306799889E0
7.573586607E0,3.133899927E0,1.584800005E0,-1.334699988E0
7.593439732E0,2.949299812E0,3.839900017E0,7.329999655E-2
7.613292857E0,1.958899975E0,5.322000027E0,1.801399946E0
7.633144419E0,4.522999823E-1,5.206799984E0,3.914999962E-1
7.652997544E0,-1.176999927E0,4.285699844E0,-1.986799955E0
7.672850669E0,-6.292999983E-1,3.640199900E0,-2.555999994E0
7.692703794E0,5.856999755E-1,3.632499933E0,-1.875899911E0
7.712561607E0,1.288999915E0,4.792299747E0,-2.257699966E0
7.732408482E0,1.960899949E0,5.113299847E0,-2.708099842E0
7.752261607E0,1.757299900E0,3.286199808E0,-5.041399956E0
7.772113169E0,5.528999567E-1,6.941999793E-1,-3.598999977E0
7.791966294E0,-4.104000032E-1,-2.673199892E0,-1.391099930E0
7.811819419E0,-2.066400051E0,-6.613800049E0,-1.510299921E0
7.831670982E0,-4.480199814E0,-8.040499687E0,-1.579899907E0
7.851524107E0,-4.136899948E0,-4.389499664E0,-2.914899826E0
7.871377232E0,6.017000079E-1,7.304999828E-1,1.947699904E0
7.891228794E0,1.266600013E0,1.471099973E0,9.277699471E0
