,timestamp,acc_x,acc_y,acc_z
130,1663314879778,1.5137594,-9.755538,0.36191443
131,1663314879778,1.5257236,-9.745967,0.37387854
132,1663314879783,1.5233307,-9.777073,0.381057
133,1663314879783,1.5161523,-9.769895,0.3906283
134,1663314879787,1.5352948,-9.781859,0.43609193
135,1663314879788,1.532902,-9.80818,0.43848476
136,1663314879792,1.547259,-9.789038,0.4671986
137,1663314879792,1.57358,-9.80818,0.4743771
138,1663314879798,1.5687944,-9.829716,0.5054838
139,1663314879798,1.5927225,-9.801002,0.51505506
140,1663314879802,1.6046867,-9.80818,0.52941203
141,1663314879802,1.5879369,-9.784252,0.51266223
142,1663314879807,1.6046867,-9.767502,0.53180486
143,1663314879807,1.5783657,-9.769895,0.49830532
144,1663314879812,1.547259,-9.734002,0.503091
145,1663314879812,1.5137594,-9.685847,0.48873404
146,1663314879817,1.4778671,-9.67149,0.48394838
147,1663314879817,1.4347963,-9.626026,0.49830532
148,1663314879821,1.4132608,-9.609277,0.4648058
149,1663314879822,1.3749757,-9.585348,0.4552345
150,1663314879827,1.3342978,-9.582955,0.41934216
151,1663314879827,1.2792628,-9.582955,0.42891344
152,1663314879831,1.2433704,-9.554242,0.40259242
153,1663314879831,1.195514,-9.532706,0.3906283
154,1663314879837,1.1760724,-9.542277,0.38584265
155,1663314879837,1.1114662,-9.535099,0.3930211
156,1663314879841,1.0372887,-9.5303135,0.35473597
157,1663314879841,1.018146,-9.532706,0.33320054
158,1663314879846,0.96550393,-9.525528,0.30927232
159,1663314879846,0.9176475,-9.515957,0.31166515
160,1663314879852,0.8817552,-9.515957,0.29012975
161,1663314879852,0.8554341,-9.525528,0.24705894
162,1663314879856,0.82672024,-9.547063,0.24705894
163,1663314879856,0.8362915,-9.566206,0.24945176
164,1663314879861,0.84107715,-9.587741,0.23988047
165,1663314879861,0.84347,-9.618848,0.2542374
166,1663314879867,0.86261255,-9.640384,0.26859435
167,1663314879867,0.84825563,-9.666704,0.28055847
168,1663314879871,0.8602197,-9.716953,0.29970104
169,1663314879871,0.89371926,-9.784252,0.35234314
170,1663314879877,0.8865408,-9.805787,0.38344982
171,1663314879877,0.9128618,-9.834501,0.4001996
172,1663314879881,0.9343972,-9.853643,0.40977088
173,1663314879881,0.8961121,-9.889536,0.42891344
174,1663314879886,0.86979103,-9.9015,0.4528417
175,1663314879887,0.85064846,-9.91825,0.43609193
176,1663314879891,0.78364944,-9.930214,0.421735
177,1663314879891,0.7716853,-9.927821,0.44805604
178,1663314879896,0.71665037,-9.906285,0.42652065
179,1663314879896,0.67836523,-9.889536,0.4121637
180,1663314879901,0.654437,-9.9015,0.36430725
181,1663314879901,0.64965135,-9.9038925,0.33320054
182,1663314879907,0.6134599,-9.899107,0.28773692
183,1663314879907,0.6158527,-9.9038925,0.29970104
184,1663314879911,0.6305088,-9.868001,0.27816564
185,1663314879911,0.6257231,-9.853643,0.3188436
186,1663314879917,0.6664011,-9.877572,0.232702
187,1663314879917,0.62811595,-9.891929,0.14656039
188,1663314879922,0.599103,-9.8727865,0.13220344
189,1663314879922,0.5273183,-9.810573,0.12023934
190,1663314879926,0.48185465,-9.798609,0.10827523
191,1663314879927,0.48903313,-9.793823,0.11545369
192,1663314879931,0.5727819,-9.801002,0.15134603
193,1663314879931,0.56560344,-9.769895,0.1680958
194,1663314879936,0.5392824,-9.716953,0.1369891
195,1663314879936,0.6158527,-9.779466,0.07956135
196,1663314879941,0.6448657,-9.834501,-0.03798606
197,1663314879941,0.6086743,-9.765109,-0.06909275
198,1663314879945,0.5560322,-9.736395,-0.07627122
199,1663314879945,0.46271208,-9.652348,-0.030807592
200,1663314881463,0.16360925,-9.212068,0.081954174
201,1663314881463,0.18514465,-9.171391,0.10109676
202,1663314881463,0.22103699,-9.132806,0.13220344
203,1663314881463,0.2425724,-9.099306,0.1369891
204,1663314881463,0.23539393,-9.070593,0.15134603
205,1663314881463,0.22821546,-9.092128,0.16091733
206,1663314881468,0.24975087,-9.11127,0.19202402
207,1663314881468,0.25692934,-9.139984,0.24945176
208,1663314881472,0.24975087,-9.116056,0.2111666
209,1663314881472,0.20428723,-9.116056,0.16570297
210,1663314881477,0.22342981,-9.142377,0.13938192
211,1663314881477,0.23539393,-9.166306,0.12263216
212,1663314881483,0.26171497,-9.231211,0.13938192
213,1663314881483,0.24735804,-9.26471,0.14177474
214,1663314881487,0.23060828,-9.288638,0.19202402
215,1663314881487,0.17078772,-9.331709,0.21595225
216,1663314881493,0.17557336,-9.39153,0.27098715
217,1663314881493,0.14925231,-9.434601,0.30209386
218,1663314881497,0.15643078,-9.494421,0.3164508
219,1663314881497,0.13250256,-9.549456,0.26141587
220,1663314881502,0.13010973,-9.585348,0.27337998
221,1663314881502,0.115752794,-9.6427765,0.2638087
222,1663314881507,0.070289165,-9.6834545,0.2638087
223,1663314881507,0.055633128,-9.726525,0.23988047
224,1663314881512,0.04366901,-9.817751,0.22791636
225,1663314881512,0.04127619,-9.906285,0.18005991
226,1663314881517,0.0317049,-9.982856,0.12981063
227,1663314881517,-0.008973085,-10.047462,0.08673982
228,1663314881522,-0.032901313,-10.078569,0.08673982
229,1663314881522,-0.08554341,-10.179068,0.10109676
230,1663314881527,-0.111864455,-10.205389,0.096311115
231,1663314881527,-0.1692922,-10.202995,0.036490545
232,1663314881531,-0.17647067,-10.224531,-0.030807592
233,1663314881531,-0.13100705,-10.217353,-0.07866404
234,1663314881535,-0.08793623,-10.243673,-0.10737792
235,1663314881539,-0.07836494,-10.255638,-0.13369897
236,1663314881539,-0.08793623,-10.258031,-0.10977074
237,1663314881544,-0.068793654,-10.226924,-0.095413804
238,1663314881544,-0.030508488,-10.21496,-0.07148558
239,1663314881548,-0.0041874396,-10.210175,-0.08105687
240,1663314881549,0.014955142,-10.162318,-0.08823533
241,1663314881554,0.08703893,-10.13839,-0.097806625
242,1663314881554,0.12771691,-10.083355,-0.12412767
243,1663314881559,0.180359,-10.004392,-0.16241284
244,1663314881559,0.20668006,-9.961321,-0.13609178
245,1663314881564,0.19950159,-9.913465,-0.13130614
246,1663314881564,0.24017957,-9.889536,-0.12173485
247,1663314881569,0.23778675,-9.896714,-0.13130614
