"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.493685316E0,-4.236225784E-1,-2.827153921E0,-2.868996859E0
3.513456514E0,-1.261399537E-1,7.134696245E-1,-3.737010717E0
3.533226097E0,-1.287971497E0,4.736051559E0,-2.884268045E0
3.552997347E0,-2.542651653E0,2.951766729E0,-2.299840003E-1
3.572766930E0,-2.257996798E0,8.551861644E-1,1.695406556E0
3.592538128E0,-1.253764033E0,6.536065936E-1,4.584408700E-1
3.612307711E0,-6.624638438E-1,1.710372269E-1,-1.533684731E0
3.632078961E0,-9.245173335E-1,-1.630962193E-1,-2.759044409E0
3.651848545E0,-2.019155502E0,2.003578991E-1,-2.645426750E0
3.671619743E0,-1.871330619E0,-2.614426315E-1,-1.412737012E0
3.691389378E0,-1.236049414E0,-2.473931462E-1,-5.752654076E-1
3.711160576E0,-1.774816751E0,9.504783154E-1,-5.453338623E-1
3.730930159E0,-1.744274378E0,3.377985358E-1,-1.057834744E0
3.750701357E0,-1.520704269E0,9.284878373E-1,-2.510429621E0
3.770470993E0,-2.179808378E0,-1.435490996E-1,-2.561740637E0
3.790242191E0,-1.818186879E0,-6.560499668E-1,-1.574611545E0
3.810011774E0,-7.211052179E-1,4.489727318E-1,-9.222266674E-1
3.829782972E0,-1.524063945E-1,1.144116879E0,-3.210002482E-1
3.849552607E0,3.594835997E-1,1.340198874E0,9.254335612E-2
3.869323805E0,6.473453641E-1,1.588202834E0,-3.756710514E-2
3.889093389E0,1.729155898E0,1.104411840E0,5.528167635E-2
3.908864639E0,2.765763760E0,4.367557764E-1,4.957025647E-1
3.928634222E0,3.284373045E0,-5.436540768E-2,9.623898268E-1
3.948405420E0,3.591629267E0,-1.380514801E-1,1.068677306E0
3.968175055E0,3.908658981E0,8.050966859E-1,9.031376839E-1
3.987946253E0,3.455410242E0,1.963263035E0,4.840964675E-1
4.007715836E0,2.544636965E0,1.995027184E0,2.104368806E-1
4.027487086E0,2.405363798E0,9.834640622E-1,7.113316059E-1
4.047256670E0,2.721782684E0,-7.647807598E-1,6.142069101E-1
4.067027868E0,3.371113300E0,-2.082989216E0,3.185568452E-1
4.086797503E0,3.603235245E0,-1.915006161E0,1.524063945E-1
4.106568701E0,3.026595354E0,-1.717091680E0,-2.269297540E-1
4.126338284E0,2.624047041E0,-1.484969735E0,-9.576557875E-1
4.146109534E0,2.307017326E0,-1.636459827E0,-1.710219622E0
4.165879118E0,1.854990363E0,-1.535059214E0,-1.925237894E0
4.185650316E0,1.255749226E0,-8.014315963E-1,-1.573389769E0
4.205419951E0,7.212579250E-1,-7.207997888E-2,-1.114032745E0
4.225191149E0,3.723114133E-1,1.496575773E-1,-7.438592315E-1
4.244960732E0,2.550287247E-1,3.390202224E-1,-1.652341783E-1
4.264731982E0,2.318165302E-1,4.355340898E-1,4.114056230E-1
4.284501566E0,5.344913527E-2,5.723638535E-1,7.394306064E-1
4.304272764E0,-1.200314835E-1,-1.881409585E-1,6.429167390E-1
4.324042399E0,-6.383354217E-2,-1.222916245E0,5.066977739E-1
4.343813597E0,-2.107422985E-2,-1.423274159E0,6.526902914E-1
4.363583232E0,-3.332171738E-1,-5.705313683E-1,7.748597264E-1
4.383354430E0,-3.234436214E-1,-3.439069986E-1,2.544178963E-1
4.403124066E0,-3.145863488E-2,-6.981984377E-1,-2.971771955E-1
4.422895264E0,-1.592173338E0,-3.646758199E-1,-5.091412067E-1
4.442664847E0,-1.783979416E0,8.179244995E-1,-7.304205894E-1
4.462436045E0,1.665627718E0,2.100092888E0,-1.489703774E0
4.482205680E0,-1.496270418E0,2.910228968E0,-8.643488586E-2
4.501976878E0,-3.381039500E-1,-1.632794738E0,-5.192201585E-3
4.521746514E0,-1.071120620E0,3.726168275E-1,3.350497186E-1
4.541517711E0,-3.830928564E0,3.164952278E0,1.005149126E0
4.561287347E0,-2.800429344E0,2.029234648E0,7.272136807E-1
4.581058545E0,-2.609844923E0,-6.542174220E-1,4.706578255E-1
4.600828180E0,-2.672151327E0,3.494046330E-1,1.463284612E0
4.620599378E0,-2.976964235E0,1.231468081E0,1.350888729E0
4.640368961E0,-3.287274599E0,2.155679941E0,2.861819267E-1
4.660140211E0,-3.064315319E0,2.426285267E0,-4.266768098E-1
4.679909795E0,-2.558533669E0,2.138576269E0,-5.758762360E-1
4.699681045E0,-2.182251930E0,1.577207565E0,-3.924693763E-1
4.719450628E0,-2.220124245E0,1.147171140E0,-1.933331639E-1
4.739221878E0,-2.041756868E0,1.081199646E0,-2.324273884E-1
4.758991461E0,-1.733889937E0,1.152057886E0,-2.037175596E-1
4.778762711E0,-1.831625462E0,1.753131628E0,-1.743968874E-1
4.798532295E0,-1.953794956E0,1.497797489E0,-2.226538211E-1
4.818303493E0,-1.631878495E0,3.237490356E-2,-3.759764731E-1
4.838073128E0,-1.159693480E0,-5.076140761E-1,-6.223006248E-1
4.857844326E0,-8.921424150E-1,4.257605374E-1,-6.449019909E-1
4.877613961E0,-8.194515705E-1,1.205201626E0,-6.009209752E-1
4.897385159E0,-3.497100472E-1,4.911212027E-1,-7.279772162E-1
4.917154795E0,-1.072036922E-1,2.846548259E-1,-8.477032781E-1
4.936925993E0,1.829487532E-1,2.095206082E-1,-8.385405540E-1
4.956695628E0,7.310314775E-1,4.648547769E-1,-8.641961813E-1
4.976466826E0,1.607597232E0,4.654656053E-1,-9.820896983E-1
4.996236409E0,2.862277508E0,2.070772201E-1,-6.546755433E-1
5.016007659E0,4.178042412E0,-5.943543911E-1,8.276980370E-2
5.035777243E0,4.851807117E0,-2.142852068E0,3.839175105E-1
5.055548493E0,4.440706730E0,-2.895568609E0,2.886253297E-1
5.075318076E0,4.399169445E0,-2.557006598E0,3.845283389E-1
5.095089326E0,4.164603710E0,-2.076269865E0,3.515425920E-1
5.114858909E0,3.419981003E0,-1.136175871E0,2.141019702E-1
5.134630159E0,3.016821861E0,-1.257734537E0,8.951966763E-1
5.154399743E0,3.067522287E0,-2.387191057E0,1.888434291E0
5.174170941E0,3.320412874E0,-3.332324505E0,2.300145388E0
5.193940576E0,3.310639381E0,-4.044572353E0,2.267159700E0
5.213711774E0,2.858001709E0,-4.076947212E0,1.932415247E0
5.233481409E0,2.115822077E0,-3.244973421E0,1.068066478E0
5.253252607E0,1.954558492E0,-2.835094929E0,7.162184119E-1
5.273022243E0,1.879424334E0,-2.263799906E0,5.317425132E-1
5.292793441E0,1.441446781E0,-1.177713513E0,3.820849657E-1
5.312563024E0,7.768449783E-1,-3.054236174E-1,3.106158376E-1
5.332334274E0,2.290677279E-2,2.944283783E-1,2.018850148E-1
5.352103857E0,-7.357655168E-1,5.418215394E-1,1.496575773E-2
5.371875055E0,-1.115101695E0,2.082989216E-1,-2.122694254E-1
